Sample,Project
PD5117bi,1805
PD5117bj,1805
PD5117bk,1805
PD5117bl,1805
PD5117bm,1805
PD5117bn,1805
PD5117bo,1805
PD5117bp,1805
PD5117bq,1805
PD5117br,1805
PD5117bs,1805
PD5117bt,1805
PD5117bu,1805
PD5117bv,1805
PD5117bw,1805
PD5117bx,1805
PD5117by,1805
PD5117bz,1805
PD5117ca,1805
PD5117cb,1805
PD5117cc,1805
PD5117cd,1805
PD5117ce,1805
PD5117cf,1805
PD5117cg,1805
PD5117ch,1805
PD5117ci,1805
PD5117cj,1805
PD5117ck,1805
PD5117cl,1805
PD5117cm,1805
PD5117cn,1805
PD5117co,1805
PD5117cp,1805
PD5117cq,1805
PD5117cr,1805
PD5117cs,1805
PD5117ct,1805
PD5117cu,1805
PD5117cv,1805
PD5117cw,1805
PD5117cx,1805
PD5117cy,1805
PD5117cz,1805
PD5117da,1805
PD5117db,1805
PD5117dc,1805
PD5117dd,1805
PD5117de,1805
PD5117n,1805
PD5117o,1805
PD5117p,1805
PD5117q,1805
PD5117r,1805
PD5117s,1805
PD5117t,1805
PD5117u,1805
PD5117v,1805
PD5117w,1805
PD5117x,1805
PD5117y,1805
PD5117z,1805
PD5147b,1805
PD5147b2,1805
PD5147c_lo001,1805
PD5147c_lo002,1805
PD5147c_lo003,1805
PD5147c_lo004,1805
PD5147c_lo005,1805
PD5147c_lo006,1805
PD5147c_lo007,1805
PD5147c_lo008,1805
PD5147c_lo009,1805
PD5147c_lo010,1805
PD5147c_lo011,1805
PD5147c_lo012,1805
PD5147c_lo013,1805
PD5147c_lo014,1805
PD5147c_lo015,1805
PD5147c_lo016,1805
PD5147c_lo017,1805
PD5147c_lo018,1805
PD5147c_lo019,1805
PD5147c_lo020,1805
PD5147c_lo021,1805
PD5147c_lo022,1805
PD5147c_lo023,1805
PD5147c_lo024,1805
PD5147c_lo025,1805
PD5147c_lo026,1805
PD5147c_lo027,1805
PD5147c_lo028,1805
PD5147c_lo029,1805
PD5147c_lo030,1805
PD5147c_lo031,1805
PD5147c_lo032,1805
PD5147c_lo033,1805
PD5147c_lo034,1805
PD5147c_lo035,1805
PD5147c_lo036,1805
PD5163b4,1805
PD5163d_lo0001,1805
PD5163d_lo0002,1805
PD5163d_lo0003,1805
PD5163d_lo0004,1805
PD5163d_lo0005,1805
PD5163d_lo0006,1805
PD5163d_lo0007,1805
PD5163d_lo0008,1805
PD5163d_lo0010,1805
PD5163d_lo0011,1805
PD5163d_lo0012,1805
PD5163d_lo0013,1805
PD5163d_lo0014,1805
PD5163d_lo0015,1805
PD5163d_lo0016,1805
PD5163d_lo0017,1805
PD5163d_lo0018,1805
PD5163d_lo0019,1805
PD5163d_lo0020,1805
PD5163d_lo0022,1805
PD5163d_lo0023,1805
PD5163d_lo0024,1805
PD5163d_lo0025,1805
PD5163d_lo0026,1805
PD5163d_lo0027,1805
PD5163d_lo0029,1805
PD5163d_lo0031,1805
PD5163d_lo0033,1805
