sample_name	rl20	genome_span	genome_size	fraction_span
AX001_4_01_264	4	394084354	2881033286	0.136785769159628
AX001_4_01_265	4	444341996	2881033286	0.15423008063087
AX001_4_01_266	4	370237688	2881033286	0.128508646463448
AX001_4_01_267	4	422434891	2881033286	0.146626175078492
AX001_4_01_268	4	492224597	2881033286	0.170850020856024
AX001_4_01_269	4	425494688	2881033286	0.147688223550778
AX001_4_01_26	4	463236524	2881033286	0.16078832766391
AX001_4_01_270	4	448862155	2881033286	0.155799017380738
AX001_4_01_271	4	458404020	2881033286	0.159110976685883
AX001_4_01_272	4	425821223	2881033286	0.147801563095165
AX001_4_01_273	4	553003575	2881033286	0.191946263754483
AX001_4_01_274	4	513119292	2881033286	0.178102521235501
AX001_4_01_275	4	454074135	2881033286	0.157608083601989
AX001_4_01_276	4	484514981	2881033286	0.168174030947312
AX001_4_01_277	4	500551687	2881033286	0.173740334564118
AX001_4_01_278	4	455340378	2881033286	0.158047593622978
AX001_4_01_279	4	421486288	2881033286	0.146296917167933
AX001_4_01_27	4	585468679	2881033286	0.203214826376706
AX001_4_01_280	5	559092236	2881033286	0.194059623926192
AX001_4_01_281	4	300446621	2881033286	0.104284328285959
AX001_4_01_282	4	413421809	2881033286	0.143497755131455
AX001_4_01_283	4	532719010	2881033286	0.184905538088948
AX001_4_01_284	4	549732601	2881033286	0.190810916233198
AX001_4_01_285	4	461453971	2881033286	0.160169607634308
AX001_4_01_286	4	501394735	2881033286	0.17403295457795
AX001_4_01_287	4	476319348	2881033286	0.165329345660326
AX001_4_01_288	4	420403603	2881033286	0.145921119704828
AX001_4_01_289	4	468975838	2881033286	0.162780430298715
AX001_4_01_28	4	403582014	2881033286	0.140082385011361
AX001_4_01_290	5	454110869	2881033286	0.157620833888554
AX001_4_01_291	5	504670864	2881033286	0.17517009138783
AX001_4_01_292	4	488597234	2881033286	0.169590971535898
AX001_4_01_293	4	519967979	2881033286	0.180479684676576
AX001_4_01_294	4	500095401	2881033286	0.173581958747283
AX001_4_01_295	4	469163628	2881033286	0.162845611774025
AX001_4_01_296	4	461729436	2881033286	0.160265220899638
AX001_4_01_297	4	483781751	2881033286	0.167919528507662
AX001_4_01_298	4	480585365	2881033286	0.16681007030892
AX001_4_01_299	4	295446332	2881033286	0.102548739521922
AX001_4_01_29	4	381090857	2881033286	0.132275756358616
AX001_4_01_2	4	519296324	2881033286	0.180246554777222
AX001_4_01_300	5	491078902	2881033286	0.170452352767437
AX001_4_01_301	4	471502483	2881033286	0.163657422943082
AX001_4_01_302	4	481885830	2881033286	0.167261458707076
AX001_4_01_303	4	391452131	2881033286	0.135872130635286
AX001_4_01_304	4	472678991	2881033286	0.164065786152809
