mut_ref1	node	Sample_ID	lesion_node	lesion_timing	lesion_repair_node	lesion_repair_timing	lesion_duration	no_of_cell_divisions	result	data_type	by_chance_prob
485	233	PX001_1_01	233	2923	234	3118	195	3	PASS	simulation	5.06750169587503
494	252	PX001_1_01	252	2643	256	3174	531	6	PASS	simulation	5.31475194740553
525	333	PX001_1_01	333	2420	335	2474	54	4	PASS	simulation	5.2775585676954
532	240	PX001_1_01	240	386	241	1090	704	3	PASS	simulation	5.57649758925806
540	333	PX001_1_01	333	2420	334	2446	26	3	PASS	simulation	5.2598968784217
558	233	PX001_1_01	233	2923	234	3118	195	3	PASS	simulation	5.06750169587503
563	209	PX001_1_01	208	1477	233	2923	1446	3	PASS	simulation	5.88211804962119
569	289	PX001_1_01	289	2526	290	2816	290	3	PASS	simulation	5.32470595188877
574	252	PX001_1_01	252	2643	256	3174	531	6	PASS	simulation	5.31475194740553
580	240	PX001_1_01	240	386	241	1090	704	3	PASS	simulation	5.36782002198887
589	366	PX001_1_01	366	1764	367	1987	223	3	PASS	simulation	5.11829935490208
593	209	PX001_1_01	209	2632	211	2815	183	4	PASS	simulation	6.43842976628429
601	318	PX001_1_01	316	1322	317	1947	625	3	PASS	simulation	5.54044934457843
617	240	PX001_1_01	240	386	241	1090	704	3	PASS	simulation	5.36782002198887
660	333	PX001_1_01	333	2420	334	2446	26	3	PASS	simulation	6.84576029176239
674	208	PX001_1_01	208	1477	219	3015	1538	9	PASS	simulation	6.2227626543388
675	317	PX001_1_01	317	1947	326	2580	633	7	PASS	simulation	6.86554278793889
689	316	PX001_1_01	316	1322	328	2631	1309	7	PASS	simulation	6.76019642305331
694	288	PX001_1_01	288	1314	289	2526	1212	3	PASS	simulation	5.14693778952095
695	325	PX001_1_01	325	2555	326	2580	25	3	PASS	simulation	6.70217837673475
699	252	PX001_1_01	252	2643	253	2868	225	3	PASS	simulation	5.26941024862569
709	230	PX001_1_01	230	2990	231	3032	42	3	PASS	simulation	6.14080271027516
716	251	PX001_1_01	251	1394	256	3174	1780	7	PASS	simulation	5.28367182085777
750	233	PX001_1_01	233	2923	234	3118	195	3	PASS	simulation	5.06750169587503
754	233	PX001_1_01	233	2923	234	3118	195	3	PASS	simulation	5.06750169587503
758	333	PX001_1_01	333	2420	335	2474	54	4	PASS	simulation	5.27297164142577
766	228	PX001_1_01	208	1477	209	2632	1155	3	PASS	simulation	6.05488136532795
769	252	PX001_1_01	252	2643	256	3174	531	6	PASS	simulation	5.31475194740553
777	255	PX001_1_01	255	3151	256	3174	23	3	PASS	simulation	6.09993066136863
791	366	PX001_1_01	366	1764	367	1987	223	3	PASS	simulation	5.11829935490208
792	366	PX001_1_01	366	1764	367	1987	223	3	PASS	simulation	5.16147672038584
799	318	PX001_1_01	316	1322	317	1947	625	3	PASS	simulation	5.54044934457843
828	233	PX001_1_01	233	2923	234	3118	195	3	PASS	simulation	5.07853198990537
838	316	PX001_1_01	316	1322	317	1947	625	3	PASS	simulation	5.5279892220187
866	254	PX001_1_01	254	2962	256	3174	212	4	PASS	simulation	6.40326461194217
879	239	PX001_1_01	239	39	240	386	347	3	PASS	simulation	6.88665743173617
880	288	PX001_1_01	288	1314	289	2526	1212	3	PASS	simulation	5.14693778952095
881	289	PX001_1_01	289	2526	290	2816	290	3	PASS	simulation	5.32470595188877
910	318	PX001_1_01	318	2442	321	2582	140	3	PASS	simulation	5.62692234962586
918	240	PX001_1_01	240	386	241	1090	704	3	PASS	simulation	5.57649758925806
921	289	PX001_1_01	289	2526	290	2816	290	3	PASS	simulation	5.21820577205805
946	288	PX001_1_01	288	1314	290	2816	1502	4	PASS	simulation	5.29863002481465
958	252	PX001_1_01	252	2643	256	3174	531	6	PASS	simulation	5.31475194740553
960	288	PX001_1_01	288	1314	290	2816	1502	4	PASS	simulation	5.29863002481465
974	228	PX001_1_01	208	1477	209	2632	1155	3	PASS	simulation	6.05488136532795
992	366	PX001_1_01	366	1764	367	1987	223	3	PASS	simulation	5.16147672038584
994	288	PX001_1_01	288	1314	290	2816	1502	4	PASS	simulation	5.29863002481465
997	366	PX001_1_01	366	1764	367	1987	223	3	PASS	simulation	5.16147672038584
1007	208	PX001_1_01	208	1477	228	2743	1266	4	PASS	simulation	6.18092658529122
1015	366	PX001_1_01	366	1764	367	1987	223	3	PASS	simulation	5.16147672038584
1022	366	PX001_1_01	366	1764	367	1987	223	3	PASS	simulation	5.11829935490208
1025	289	PX001_1_01	289	2526	290	2816	290	3	PASS	simulation	5.21820577205805
1029	210	PX001_1_01	210	2763	220	3104	341	8	PASS	simulation	7.00140551951522
1033	254	PX001_1_01	254	2962	256	3174	212	4	PASS	simulation	6.43818653217997
1049	209	PX001_1_01	209	2632	229	2841	209	4	PASS	simulation	6.09775241057825
1061	233	PX001_1_01	233	2923	234	3118	195	3	PASS	simulation	5.07853198990537
1062	233	PX001_1_01	233	2923	234	3118	195	3	PASS	simulation	5.06750169587503
1073	251	PX001_1_01	251	1394	255	3151	1757	6	PASS	simulation	6.87907218251699
1075	209	PX001_1_01	209	2632	230	2990	358	5	PASS	simulation	6.64768938859262
1101	251	PX001_1_01	251	1394	252	2643	1249	3	PASS	simulation	5.13939666797926
1102	251	PX001_1_01	251	1394	255	3151	1757	6	PASS	simulation	6.87907218251699
1117	316	PX001_1_01	316	1322	318	2442	1120	4	PASS	simulation	5.99987794980468
1124	329	PX001_1_01	329	2660	331	2716	56	3	PASS	simulation	6.84336546062918
1128	288	PX001_1_01	288	1314	290	2816	1502	4	PASS	simulation	5.29863002481465
1129	366	PX001_1_01	366	1764	367	1987	223	3	PASS	simulation	5.16147672038584
1133	233	PX001_1_01	233	2923	234	3118	195	3	PASS	simulation	5.06750169587503
1147	366	PX001_1_01	366	1764	367	1987	223	3	PASS	simulation	5.16147672038584
1152	288	PX001_1_01	288	1314	289	2526	1212	3	PASS	simulation	5.14693778952095
1159	233	PX001_1_01	233	2923	234	3118	195	3	PASS	simulation	5.06750169587503
