Sample,Project
PD45793b_lo0138,2256
PD45793b_lo0139,2256
PD45793b_lo0140,2256
PD45793b_lo0141,2256
PD45793b_lo0142,2256
PD45793b_lo0144,2256
PD45793b_lo0146,2256
PD45793b_lo0147,2256
PD45793b_lo0148,2256
PD45793b_lo0149,2256
PD45793b_lo0152,2256
PD45793b_lo0153,2256
PD45793b_lo0155,2256
PD45793b_lo0157,2256
PD45793b_lo0159,2256
PD45793b_lo0161,2256
PD45793b_lo0163,2256
PD45793b_lo0164,2256
PD45793b_lo0166,2256
PD45793b_lo0168,2256
PD45793b_lo0170,2256
PD45793b_lo0172,2256
PD45793b_lo0174,2256
PD45793b_lo0175,2256
PD45793b_lo0178,2256
PD45793b_lo0182,2256
PD45793b_lo0184,2256
PD45793b_lo0186,2256
PD45793b_lo0187,2256
PD45793b_lo0190,2256
PD45793b_lo0191,2256
PD45793b_lo0192,2256
PD45793b_lo0193,2256
PD45793b_lo0194,2256
PD45793b_lo0195,2256
PD45793b_lo0196,2256
PD45793b_lo0197,2256
PD45793b_lo0200,2256
PD45793b_lo0202,2256
PD45793b_lo0203,2256
PD45793b_lo0206,2256
PD45793b_lo0210,2256
PD45793b_lo0215,2256
PD45793b_lo0216,2256
PD45793b_lo0218,2256
PD45793b_lo0219,2256
PD45793b_lo0220,2256
PD45793b_lo0222,2256
PD45793b_lo0223,2256
PD45793b_lo0224,2256
PD45793b_lo0225,2256
PD45793b_lo0231,2256
PD45793b_lo0233,2256
PD45793b_lo0235,2256
PD45793b_lo0236,2256
PD45793b_lo0237,2256
PD45793b_lo0239,2256
PD45793b_lo0240,2256
PD45793b_lo0241,2256
PD45793b_lo0242,2256
PD45793b_lo0243,2256
PD45793b_lo0244,2256
PD45793b_lo0245,2256
PD45793b_lo0247,2256
PD45793b_lo0250,2256
PD45793b_lo0251,2256
PD45793b_lo0253,2256
PD45793b_lo0255,2256
PD45793b_lo0256,2256
PD45793b_lo0257,2256
PD45793b_lo0262,2256
PD45793b_lo0263,2256
PD45793b_lo0264,2256
PD45793b_lo0265,2256
PD45793b_lo0266,2256
PD45793b_lo0267,2256
PD45793b_lo0268,2256
PD45793b_lo0269,2256
PD45793b_lo0270,2256
PD45793b_lo0271,2256
PD45793b_lo0272,2256
PD45793b_lo0273,2256
PD45793b_lo0274,2256
PD45793b_lo0275,2256
PD45793b_lo0277,2256
PD45793b_lo0278,2256
PD45793b_lo0279,2256
PD45793b_lo0281,2256
PD45793b_lo0283,2256
PD45793b_lo0286,2256
PD45793b_lo0287,2256
PD45793b_lo0288,2256
PD45794b_lo0001,2189
PD45794b_lo0002,2189
PD45794b_lo0004,2189
PD45794b_lo0006,2189
PD45794b_lo0007,2189
PD45794b_lo0008,2189
PD45794b_lo0009,2189
PD45794b_lo0010,2189
PD45794b_lo0011,2189
PD45794b_lo0013,2189
PD45794b_lo0014,2189
